epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,6890.15,0.64366,0.46083,1.01026,0.88616,0.78834,0.82319,0.36015,2.33292,0.98057,3.01044,0.00140996,0.00140996,0.00140996
151,6931.58,0.66501,0.45894,1.02235,0.83195,0.81472,0.79843,0.33221,2.32742,1.35638,2.8821,0.001406,0.001406,0.001406
152,6972.93,0.64583,0.44754,1.01151,0.87454,0.75949,0.83717,0.35944,2.41395,0.92942,2.95649,0.00140204,0.00140204,0.00140204
153,7014.27,0.63612,0.45153,1.01022,0.84444,0.75949,0.80308,0.34195,2.31732,1.10176,2.77687,0.00139808,0.00139808,0.00139808
154,7055.8,0.65846,0.45583,1.02352,0.93901,0.77954,0.79857,0.34778,2.3996,0.85425,2.77111,0.00139412,0.00139412,0.00139412
155,7097.44,0.64606,0.46077,1.01312,0.84199,0.73418,0.7337,0.32644,2.3246,1.22082,2.65309,0.00139016,0.00139016,0.00139016
156,7138.62,0.63313,0.43682,1.01151,0.91202,0.73418,0.76961,0.34108,2.31604,1.09212,2.75964,0.0013862,0.0013862,0.0013862
157,7179.87,0.6326,0.44015,1.00734,0.89828,0.7825,0.80642,0.3769,2.42222,0.91945,2.94233,0.00138224,0.00138224,0.00138224
158,7221.66,0.63107,0.44702,1.00887,0.83759,0.75949,0.78704,0.35752,2.37835,0.97313,2.81792,0.00137828,0.00137828,0.00137828
159,7262.67,0.63831,0.44515,1.01045,0.88675,0.79292,0.81322,0.35872,2.30246,0.92347,2.75744,0.00137432,0.00137432,0.00137432
160,7304.38,0.64069,0.44728,1.01096,0.897,0.66149,0.76311,0.32954,2.4146,0.98665,3.01986,0.00137036,0.00137036,0.00137036
161,7345.63,0.62258,0.44466,0.99848,0.8508,0.79402,0.81526,0.33504,2.35216,0.92046,2.71276,0.0013664,0.0013664,0.0013664
162,7387.47,0.62489,0.44202,1.00458,0.89832,0.78286,0.84265,0.37417,2.24198,0.86902,2.47382,0.00136244,0.00136244,0.00136244
163,7429.35,0.63658,0.44635,1.01551,0.90935,0.77215,0.81016,0.3739,2.30712,0.99729,2.86945,0.00135848,0.00135848,0.00135848
164,7471.31,0.64189,0.45511,1.014,0.88128,0.78481,0.79993,0.35477,2.39672,0.86404,2.97121,0.00135452,0.00135452,0.00135452
165,7513.37,0.63474,0.44515,1.00802,0.88042,0.73418,0.80763,0.37005,2.39365,0.96082,2.76196,0.00135056,0.00135056,0.00135056
